"","YEAR_CD","YM_CD","SD_NM","SIGUNGU_NM","DONG_CD","DONG_NM","MK_NUM","SMK_NUM","OP_MK_NUM","CLS_MK_NUM","FRC_MK_NUM","OP_RATE","CLS_RATE","DT","IN","OUT","PARKING"
"1",2021,202112,"서울","강남구",11680510,"신사동",2980,3591,128,108,611,0.0429530201342282,0.036241610738255,8578,2158,2711,1195
"2",2021,202112,"서울","강남구",11680521,"논현1동",5005,5923,231,244,918,0.0461538461538462,0.0487512487512488,18162,5141,5967,2084
"3",2021,202112,"서울","강남구",11680531,"논현2동",2942,3497,187,145,555,0.0635622025832767,0.0492861998640381,14511,4171,4824,2114
"4",2021,202112,"서울","강남구",11680545,"압구정동",5405,5920,253,183,515,0.0468085106382979,0.0338575393154487,10453,3332,4130,1025
"5",2021,202112,"서울","강남구",11680565,"청담동",1968,2274,78,75,306,0.0396341463414634,0.038109756097561,11121,3654,4773,1538
"6",2021,202112,"서울","강남구",11680580,"삼성1동",1343,1965,27,40,622,0.0201042442293373,0.0297840655249442,6771,1956,2392,792
"7",2021,202112,"서울","강남구",11680590,"삼성2동",5395,6762,230,218,1367,0.0426320667284523,0.0404077849860982,24752,5861,5404,1175
"8",2021,202112,"서울","강남구",11680600,"대치1동",270,402,8,14,132,0.0296296296296296,0.0518518518518519,30632,2965,3610,129
"9",2021,202112,"서울","강남구",11680610,"대치2동",1223,1602,28,40,379,0.0228945216680294,0.0327064595257563,18332,6859,7825,677
"10",2021,202112,"서울","강남구",11680630,"대치4동",1716,2308,85,76,592,0.0495337995337995,0.0442890442890443,27505,4592,5101,1279
"11",2021,202112,"서울","강남구",11680640,"역삼1동",7494,8921,414,317,1427,0.055244195356285,0.0423005070723245,15570,10578,10648,3505
"12",2021,202112,"서울","강남구",11680650,"역삼2동",584,650,39,31,66,0.0667808219178082,0.0530821917808219,31633,6092,6470,1047
"13",2021,202112,"서울","강남구",11680655,"도곡1동",59,71,1,4,12,0.0169491525423729,0.0677966101694915,21117,2929,3583,438
"14",2021,202112,"서울","강남구",11680656,"도곡2동",654,785,35,19,131,0.0535168195718654,0.0290519877675841,32609,3883,4652,333
"15",2021,202112,"서울","강남구",11680670,"개포2동",372,529,20,11,157,0.0537634408602151,0.0295698924731183,11133,9853,4191,114
"16",2021,202112,"서울","강남구",11680690,"개포4동",410,484,13,6,74,0.0317073170731707,0.0146341463414634,16020,4408,3308,997
"17",2021,202112,"서울","강남구",11680700,"세곡동",349,552,25,21,203,0.0716332378223496,0.0601719197707736,6823,5417,6506,547
"18",2021,202112,"서울","강남구",11680730,"일원1동",541,721,15,13,180,0.0277264325323475,0.0240295748613678,16537,1967,2498,857
"19",2021,202112,"서울","강남구",11680750,"수서동",387,592,15,15,205,0.0387596899224806,0.0387596899224806,10399,1802,2137,91
"20",2021,202112,"서울","강동구",11740515,"강일동",89,155,5,6,66,0.0561797752808989,0.0674157303370786,14594,8494,3277,113
"21",2021,202112,"서울","강동구",11740520,"상일동",577,659,19,17,82,0.0329289428076256,0.0294627383015598,33579,12333,4712,591
"22",2021,202112,"서울","강동구",11740530,"명일1동",885,1139,44,44,254,0.0497175141242938,0.0497175141242938,42526,3917,4453,588
"23",2021,202112,"서울","강동구",11740540,"명일2동",510,778,35,23,268,0.0686274509803922,0.0450980392156863,18111,2815,2723,376
"24",2021,202112,"서울","강동구",11740550,"고덕1동",233,302,14,13,69,0.0600858369098712,0.055793991416309,14114,3187,4865,901
"25",2021,202112,"서울","강동구",11740560,"고덕2동",354,466,27,14,112,0.076271186440678,0.0395480225988701,11109,3677,4061,1280
"26",2021,202112,"서울","강동구",11740570,"암사1동",831,932,40,31,101,0.0481347773766546,0.0373044524669073,34100,4722,5437,2052
"27",2021,202112,"서울","강동구",11740580,"암사2동",424,586,22,21,162,0.0518867924528302,0.0495283018867925,12925,2196,2428,356
"28",2021,202112,"서울","강동구",11740600,"천호1동",673,885,48,29,212,0.0713224368499257,0.0430906389301634,37990,3845,4482,1550
"29",2021,202112,"서울","강동구",11740610,"천호2동",2715,3293,125,108,578,0.0460405156537753,0.0397790055248619,21499,5310,6557,1936
"30",2021,202112,"서울","강동구",11740620,"천호3동",426,463,27,18,37,0.0633802816901408,0.0422535211267606,34177,5240,5205,763
"31",2021,202112,"서울","강동구",11740640,"성내1동",1067,1262,49,46,195,0.0459231490159325,0.0431115276476101,34560,2879,3240,778
"32",2021,202112,"서울","강동구",11740650,"성내2동",919,1051,28,25,132,0.0304678998911861,0.0272034820457018,35979,3860,4521,1225
"33",2021,202112,"서울","강동구",11740660,"성내3동",1758,1998,67,78,240,0.0381114903299204,0.0443686006825939,32882,3639,3892,1309
"34",2021,202112,"서울","강동구",11740685,"길동",2326,2799,124,109,473,0.0533104041272571,0.0468615649183147,21186,6781,7559,1781
"35",2021,202112,"서울","강동구",11740700,"둔촌2동",577,657,22,28,80,0.0381282495667244,0.048526863084922,25291,2990,4584,866
"36",2021,202112,"서울","강북구",11305534,"삼양동",277,334,10,12,57,0.036101083032491,0.0433212996389892,26156,2699,3377,673
"37",2021,202112,"서울","강북구",11305535,"미아동",1139,1335,51,39,196,0.0447761194029851,0.0342405618964004,23653,3202,3711,951
"38",2021,202112,"서울","강북구",11305545,"송중동",1077,1342,58,63,265,0.0538532961931291,0.0584958217270195,29738,3499,4115,1089
"39",2021,202112,"서울","강북구",11305555,"송천동",807,910,38,40,103,0.047087980173482,0.0495662949194548,29779,3055,3791,967
"40",2021,202112,"서울","강북구",11305575,"삼각산동",242,276,7,4,34,0.0289256198347107,0.0165289256198347,50758,2959,3374,46
"41",2021,202112,"서울","강북구",11305590,"번1동",704,773,41,32,69,0.0582386363636364,0.0454545454545455,28359,2796,3293,1061
"42",2021,202112,"서울","강북구",11305600,"번2동",76,76,0,0,0,0,0,16771,1533,1949,495
"43",2021,202112,"서울","강북구",11305606,"번3동",67,75,1,2,8,0.0149253731343284,0.0298507462686567,15368,1396,1933,127
"44",2021,202112,"서울","강북구",11305610,"수유1동",793,854,52,39,61,0.0655737704918033,0.0491803278688525,12484,2843,3186,986
"45",2021,202112,"서울","강북구",11305620,"수유2동",566,643,32,30,77,0.0565371024734982,0.0530035335689046,37581,2602,2673,809
"46",2021,202112,"서울","강북구",11305630,"수유3동",3120,3666,129,125,546,0.0413461538461538,0.0400641025641026,32490,3904,4212,1312
"47",2021,202112,"서울","강북구",11305645,"우이동",697,801,25,25,104,0.0358680057388809,0.0358680057388809,2011,2950,2999,1111
"48",2021,202112,"서울","강북구",11305660,"인수동",544,606,25,18,62,0.0459558823529412,0.0330882352941176,9318,3619,4348,1604
"49",2021,202112,"서울","강서구",11500510,"염창동",94,110,0,2,16,0,0.0212765957446809,24002,5099,5513,432
"50",2021,202112,"서울","강서구",11500520,"등촌1동",454,506,20,16,52,0.0440528634361234,0.0352422907488987,38181,4925,4867,514
"51",2021,202112,"서울","강서구",11500530,"등촌2동",63,71,3,2,8,0.0476190476190476,0.0317460317460317,22199,2541,3319,867
"52",2021,202112,"서울","강서구",11500535,"등촌3동",760,994,51,48,234,0.0671052631578947,0.0631578947368421,38878,3485,4273,242
"53",2021,202112,"서울","강서구",11500540,"화곡1동",2680,3241,133,123,561,0.0496268656716418,0.0458955223880597,47116,9008,9428,2622
"54",2021,202112,"서울","강서구",11500550,"화곡2동",318,383,25,19,65,0.0786163522012579,0.059748427672956,40213,2433,2904,1055
"55",2021,202112,"서울","강서구",11500560,"화곡3동",400,443,35,29,43,0.0875,0.0725,40870,3201,3310,1096
"56",2021,202112,"서울","강서구",11500570,"화곡4동",1237,1442,69,51,205,0.0557801131770412,0.0412287793047696,25390,2412,2902,1416
"57",2021,202112,"서울","강서구",11500590,"화곡본동",575,673,28,32,98,0.048695652173913,0.0556521739130435,35318,5426,5723,1632
"58",2021,202112,"서울","강서구",11500591,"화곡6동",1501,1792,103,87,291,0.0686209193870753,0.0579613590939374,22609,4124,4091,1313
"59",2021,202112,"서울","강서구",11500593,"화곡8동",464,577,25,22,113,0.0538793103448276,0.0474137931034483,46772,3484,4190,1379
"60",2021,202112,"서울","강서구",11500603,"가양1동",3403,4376,363,192,973,0.106670584778137,0.0564208051719071,7318,8104,8180,431
"61",2021,202112,"서울","강서구",11500605,"가양3동",24,42,1,1,18,0.0416666666666667,0.0416666666666667,30276,1795,2215,42
"62",2021,202112,"서울","강서구",11500611,"발산1동",608,710,20,18,102,0.0328947368421053,0.0296052631578947,12439,3795,4734,753
"63",2021,202112,"서울","강서구",11500615,"우장산동",564,650,35,28,86,0.0620567375886525,0.049645390070922,31713,4643,5326,1127
"64",2021,202112,"서울","강서구",11500620,"공항동",1038,1192,47,42,154,0.0452793834296724,0.0404624277456647,2896,8731,4702,1486
"65",2021,202112,"서울","강서구",11500630,"방화1동",862,1041,58,46,179,0.0672853828306264,0.0533642691415313,29176,5316,6586,1042
"66",2021,202112,"서울","강서구",11500640,"방화2동",566,662,7,16,96,0.0123674911660777,0.0282685512367491,3690,4165,3651,1152
"67",2021,202112,"서울","강서구",11500641,"방화3동",161,240,7,6,79,0.0434782608695652,0.0372670807453416,8990,2709,3241,256
"68",2021,202112,"서울","관악구",11620525,"보라매동",525,638,43,33,113,0.0819047619047619,0.0628571428571429,32787,4141,4095,1137
"69",2021,202112,"서울","관악구",11620545,"청림동",22,22,1,1,0,0.0454545454545455,0.0454545454545455,50713,1864,2265,104
"70",2021,202112,"서울","관악구",11620565,"성현동",91,114,8,6,23,0.0879120879120879,0.0659340659340659,43226,2722,3623,374
"71",2021,202112,"서울","관악구",11620575,"행운동",485,559,42,18,74,0.0865979381443299,0.0371134020618557,40851,6364,6553,1238
"72",2021,202112,"서울","관악구",11620585,"낙성대동",1025,1131,51,40,106,0.0497560975609756,0.0390243902439024,7680,4559,4649,847
"73",2021,202112,"서울","관악구",11620595,"청룡동",2028,2480,94,98,452,0.0463510848126233,0.0483234714003945,30917,8887,8349,1227
"74",2021,202112,"서울","관악구",11620605,"은천동",317,366,21,19,49,0.0662460567823344,0.0599369085173502,43117,4516,5189,1050
"75",2021,202112,"서울","관악구",11620615,"중앙동",536,638,30,24,102,0.0559701492537313,0.0447761194029851,39710,3511,3587,657
"76",2021,202112,"서울","관악구",11620625,"인헌동",514,586,27,28,72,0.0525291828793774,0.0544747081712062,24217,4636,4876,1204
"77",2021,202112,"서울","관악구",11620630,"남현동",293,336,11,19,43,0.037542662116041,0.0648464163822526,5588,3901,4151,835
"78",2021,202112,"서울","관악구",11620645,"서원동",1038,1334,45,33,296,0.0433526011560694,0.0317919075144509,35812,5360,5494,1245
"79",2021,202112,"서울","관악구",11620655,"신원동",552,603,19,25,51,0.0344202898550725,0.0452898550724638,33955,3565,3837,1125
"80",2021,202112,"서울","관악구",11620665,"서림동",599,673,30,30,74,0.0500834724540902,0.0500834724540902,23928,4789,5330,1120
"81",2021,202112,"서울","관악구",11620685,"신사동",833,965,53,43,132,0.063625450180072,0.0516206482593037,38809,4645,4753,1839
"82",2021,202112,"서울","관악구",11620695,"신림동",1799,2291,90,69,492,0.0500277932184547,0.0383546414674819,42830,7367,6736,1070
"83",2021,202112,"서울","관악구",11620715,"난향동",50,59,2,2,9,0.04,0.04,19275,1531,1811,260
"84",2021,202112,"서울","관악구",11620725,"조원동",741,862,48,40,121,0.0647773279352227,0.0539811066126856,28039,3511,3598,1101
"85",2021,202112,"서울","관악구",11620735,"대학동",1602,1888,84,86,286,0.052434456928839,0.0536828963795256,3003,5684,5855,1307
"86",2021,202112,"서울","관악구",11620745,"삼성동",312,328,6,13,16,0.0192307692307692,0.0416666666666667,8286,1678,3207,401
"87",2021,202112,"서울","관악구",11620765,"미성동",578,742,28,24,164,0.0484429065743945,0.041522491349481,22504,3560,4143,1142
"88",2021,202112,"서울","관악구",11620775,"난곡동",469,587,27,24,118,0.0575692963752665,0.0511727078891258,28350,2965,3610,1094
"89",2021,202112,"서울","광진구",11215710,"화양동",3613,4565,215,169,952,0.0595073346249654,0.0467755327982286,22443,6879,6231,1330
"90",2021,202112,"서울","광진구",11215730,"군자동",1377,1672,67,45,295,0.0486564996368918,0.0326797385620915,29054,3587,3831,1177
"91",2021,202112,"서울","광진구",11215740,"중곡1동",520,572,27,18,52,0.0519230769230769,0.0346153846153846,25584,2619,2827,1244
"92",2021,202112,"서울","광진구",11215750,"중곡2동",462,547,25,16,85,0.0541125541125541,0.0346320346320346,39525,3176,3604,1506
"93",2021,202112,"서울","광진구",11215760,"중곡3동",580,689,22,19,109,0.0379310344827586,0.0327586206896552,27262,2281,2737,1239
"94",2021,202112,"서울","광진구",11215770,"중곡4동",541,606,31,25,65,0.0573012939001848,0.0462107208872458,12480,3495,4190,2236
"95",2021,202112,"서울","광진구",11215780,"능동",598,728,33,31,130,0.0551839464882943,0.0518394648829431,10563,2043,2294,1082
"96",2021,202112,"서울","광진구",11215810,"광장동",432,504,11,14,72,0.025462962962963,0.0324074074074074,14575,3468,4183,555
"97",2021,202112,"서울","광진구",11215820,"자양1동",943,1085,48,40,142,0.0509013785790032,0.0424178154825027,40586,3673,4011,1372
"98",2021,202112,"서울","광진구",11215830,"자양2동",618,741,31,23,123,0.0501618122977346,0.0372168284789644,14839,2953,3885,1519
"99",2021,202112,"서울","광진구",11215840,"자양3동",377,422,13,11,45,0.0344827586206897,0.0291777188328912,23608,3285,3924,672
"100",2021,202112,"서울","광진구",11215847,"자양4동",950,1025,33,32,75,0.0347368421052632,0.0336842105263158,18359,3112,2763,1041
"101",2021,202112,"서울","광진구",11215850,"구의1동",1697,2107,78,76,410,0.0459634649381261,0.0447849145550972,39534,3938,4313,1576
"102",2021,202112,"서울","광진구",11215860,"구의2동",136,144,13,3,8,0.0955882352941176,0.0220588235294118,19430,3388,3713,1545
"103",2021,202112,"서울","광진구",11215870,"구의3동",992,1354,47,43,362,0.0473790322580645,0.0433467741935484,28325,3625,4244,898
"104",2021,202112,"서울","구로구",11530510,"신도림동",170,191,2,1,21,0.0117647058823529,0.00588235294117647,24722,4067,4334,277
"105",2021,202112,"서울","구로구",11530530,"구로2동",2454,2693,78,80,239,0.0317848410757946,0.032599837000815,17707,2655,3208,1419
"106",2021,202112,"서울","구로구",11530540,"구로3동",2129,3020,121,108,891,0.0568341944574918,0.0507280413339596,24664,4411,4658,417
"107",2021,202112,"서울","구로구",11530550,"구로4동",1184,1329,54,50,145,0.0456081081081081,0.0422297297297297,51620,2629,3154,246
"108",2021,202112,"서울","구로구",11530560,"구로5동",1971,2544,75,63,573,0.0380517503805175,0.0319634703196347,30895,4675,4884,971
"109",2021,202112,"서울","구로구",11530595,"가리봉동",1177,1260,36,37,83,0.0305862361937128,0.0314358538657604,32728,1687,1788,382
"110",2021,202112,"서울","구로구",11530720,"고척1동",473,736,27,22,263,0.0570824524312896,0.0465116279069767,19532,2297,2987,551
"111",2021,202112,"서울","구로구",11530730,"고척2동",1012,1137,36,31,125,0.0355731225296443,0.0306324110671937,26561,2627,3257,1314
"112",2021,202112,"서울","구로구",11530740,"개봉1동",471,580,25,29,109,0.0530785562632696,0.0615711252653928,26382,3643,4184,1022
"113",2021,202112,"서울","구로구",11530750,"개봉2동",154,225,11,9,71,0.0714285714285714,0.0584415584415584,39143,3068,3909,918
"114",2021,202112,"서울","구로구",11530760,"개봉3동",758,921,30,27,163,0.0395778364116095,0.0356200527704486,25420,2203,2749,1016
"115",2021,202112,"서울","구로구",11530770,"오류1동",610,735,28,21,125,0.0459016393442623,0.0344262295081967,39246,3800,3883,517
"116",2021,202112,"서울","구로구",11530780,"오류2동",459,576,23,14,117,0.0501089324618736,0.0305010893246187,12196,4021,4534,711
"117",2021,202112,"서울","구로구",11530790,"수궁동",442,536,22,20,94,0.0497737556561086,0.0452488687782805,8916,2834,3246,797
"118",2021,202112,"서울","금천구",11545510,"가산동",3379,4638,239,157,1259,0.0707309854986682,0.0464634507250666,10388,6506,5835,795
"119",2021,202112,"서울","금천구",11545610,"독산1동",1621,1931,71,66,310,0.0438001233806292,0.040715607649599,22344,10101,7329,1039
"120",2021,202112,"서울","금천구",11545620,"독산2동",432,545,32,18,113,0.0740740740740741,0.0416666666666667,33625,2315,2495,1176
"121",2021,202112,"서울","금천구",11545630,"독산3동",1298,1442,53,50,144,0.0408320493066256,0.0385208012326656,29995,3308,3553,1435
"122",2021,202112,"서울","금천구",11545640,"독산4동",701,823,42,45,122,0.0599144079885877,0.0641940085592011,28437,1893,2203,1128
"123",2021,202112,"서울","금천구",11545670,"시흥1동",1831,2175,81,66,344,0.0442381212452212,0.0360458765701802,20195,4196,4859,1430
"124",2021,202112,"서울","금천구",11545680,"시흥2동",81,108,3,2,27,0.037037037037037,0.0246913580246914,16945,1932,2392,110
"125",2021,202112,"서울","금천구",11545690,"시흥3동",432,499,17,10,67,0.0393518518518519,0.0231481481481481,10235,1178,1415,620
"126",2021,202112,"서울","금천구",11545700,"시흥4동",331,402,15,11,71,0.0453172205438066,0.0332326283987915,24041,2065,2454,917
"127",2021,202112,"서울","금천구",11545710,"시흥5동",464,624,15,17,160,0.0323275862068966,0.0366379310344828,14183,2169,2512,831
"128",2021,202112,"서울","노원구",11350560,"월계1동",763,994,26,39,231,0.0340760157273919,0.0511140235910878,19172,2843,3560,623
"129",2021,202112,"서울","노원구",11350570,"월계2동",57,67,7,4,10,0.12280701754386,0.0701754385964912,13765,2391,3122,285
"130",2021,202112,"서울","노원구",11350595,"공릉1동",1529,1804,73,62,275,0.0477436232831916,0.0405493786788751,26438,4749,5616,1332
"131",2021,202112,"서울","노원구",11350600,"공릉2동",583,747,35,33,164,0.0600343053173242,0.0566037735849057,6012,6366,5675,758
"132",2021,202112,"서울","노원구",11350611,"하계1동",193,233,13,15,40,0.0673575129533679,0.077720207253886,17443,2725,3509,333
